"exp_name","cue_pred","subj","cond","block","trial","cue_delay","targ_right","cue_valid","targ_soa","shutter_dur","trial_start","trial_end","cue_rt","corr_resp","rt","block_date","block_time","block_order","Cond","CondFull","CuePred","CuePredFull","CueValid","cue_valid_c","cue_pred_c","RT"
"eb3",1,0,"a",1,23,0.417,1,1,0.6,0.0896606917212892,91.7885689735413,93.1784451007843,0.329992055892944,1,0.280010938644409,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,280.010938644409
"eb3",1,0,"a",1,24,0.467,0,1,0.6,0.0739914075856952,94.0184700489044,95.4484469890594,0.310003995895386,1,0.259968042373657,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,259.968042373657
"eb3",1,0,"a",1,25,0.31,0,1,0.6,0.0877252510900201,96.2884531021118,97.5984361171722,0.470000982284546,1,0.279995203018188,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,279.995203018188
"eb3",1,0,"a",1,26,0.391,0,0,0.6,0.0751838761993993,98.4384760856628,99.8784351348877,0.389995098114014,1,0.320028781890869,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,320.028781890869
"eb3",1,0,"a",1,27,0.324,1,1,0.6,0.0671102760776658,100.718466043472,102.008419036865,0.410029172897339,1,0.26016902923584,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,260.16902923584
"eb3",1,0,"a",1,28,0.47,1,0,0.6,0.107029202146362,102.84846496582,104.478419065475,0.429996013641357,1,0.420033931732178,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,420.033931732178
"eb3",1,0,"a",1,30,0.405,0,1,0.6,0.0864456307897246,107.508439064026,108.968398094177,0.380016803741455,1,0.300022125244141,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,300.022125244141
"eb3",1,0,"a",1,32,0.426,0,1,0.6,0.0767654822712737,112.008389949799,113.398355960846,0.399998188018799,1,0.269915103912354,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,269.915103912354
"eb3",1,0,"a",1,33,0.494,1,1,0.6,0.100377957793857,114.238441944122,115.74840092659,0.320027112960815,1,0.279958009719849,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,279.958009719849
"eb3",1,0,"a",1,34,0.449,0,1,0.6,0.0721567694802787,116.588475942612,117.958296060562,0.339995145797729,1,0.230000019073486,"2020-03-06",1432,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,230.000019073486
