"subj","cue_pred","block","trial","cond","exp_name","cue_delay","targ_right","cue_valid","targ_soa","shutter_dur","trial_start","trial_end","cue_rt","corr_resp","rt.x","block_date","block_time","block_order","Cond","CondFull","CuePred","CuePredFull","CueValid","cue_valid_c","cue_pred_c","RT","trial_sample_beg","trial_time_beg","trial_sample_end","trial_time_end","cue_sample","cue_time","blink_latency_sample","blink_latency_time","blink_window_sample","blink_window_time","targ_sample","targ_time","resp_sample","resp_time","shutter_sample_beg","shutter_time_beg","shutter_sample_end","shutter_time_end","cue_resp_sample","cue_resp_time","tot_trial_samples","tot_trial_time","samples_per_s","blank_sample_beg","blank_sample_end","tot_blank_samples","blank_time_beg","blank_time_end","tot_blank_time","rt.y","nonart","excl_reason"
1,1,1,14,"v","eb3",0.368,0,1,0.9,0,204.475038051605,206.364984035492,0,1,0.320038080215454,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,320.038080215454,3951418,204.48,3953308,206.36,3951779,204.84,3952679,205.74,3952679,205.74,3952679,205.74,3953009,206.07,NA,NA,NA,NA,NA,NA,1890,1.88000000000002,1005.31914893616,3951996,3952170,176,0.578,0.752,0.174,1.59,1,NA
1,1,1,15,"a","eb3",0.46,0,1,0.9,0.251193648974756,219.982391119003,223.00231218338,0.330010890960693,1,0.31998610496521,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,319.98610496521,5331797,219.98,5334817,223,5332248,220.43,5333138,221.32,5333138,221.32,5333138,221.32,5333469,221.65,5332838,221.02,5332578,220.76,5332578,220.76,3020,3.02000000000001,999.999999999997,5332584,5332836,254,0.787,1.039,0.252,1.67000000000002,0,NA
1,1,1,15,"v","eb3",0.34,1,1,0.9,0,207.20489692688,209.014761924744,0,1,0.299952983856201,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,299.952983856201,3954148,207.2,3955958,209.01,3954489,207.55,3955389,208.45,3955389,208.45,3955389,208.45,3955699,208.75,NA,NA,NA,NA,NA,NA,1810,1.81,999.999999999999,3954738,3954908,172,0.59,0.76,0.17,1.55000000000001,1,NA
1,1,1,16,"a","eb3",0.459,1,1,0.9,0.274224567121437,223.842283010483,226.93240904808,0.38010311126709,1,0.429983139038086,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,429.983139038086,5335657,223.84,5338747,226.93,5336108,224.29,5336998,225.18,5336998,225.18,5336998,225.18,5337439,225.62,5336768,224.95,5336488,224.67,5336488,224.67,3090,3.09,999.999999999999,5336494,5336766,274,0.837,1.109,0.272,1.78,0,NA
1,1,1,16,"v","eb3",0.342,1,1,0.9,0,209.854705095291,211.724612951279,0,1,0.30998706817627,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,309.98706817627,3956798,209.85,3958668,211.72,3957139,210.19,3958039,211.09,3958039,211.09,3958039,211.09,3958359,211.41,NA,NA,NA,NA,NA,NA,1870,1.87,999.999999999998,3957350,3957536,188,0.552,0.738,0.186,1.56,1,NA
1,1,1,17,"a","eb3",0.361,0,1,0.9,0.244807807433235,227.772388219833,230.422367095947,0.289999961853027,1,0.310003995895386,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,310.003995895386,5339587,227.77,5342237,230.42,5339948,228.13,5340838,229.02,5340838,229.02,5340838,229.02,5341158,229.34,5340488,228.67,5340238,228.42,5340238,228.42,2650,2.64999999999998,1000.00000000001,5340244,5340486,244,0.657,0.899,0.242,1.56999999999999,0,NA
1,1,1,17,"v","eb3",0.371,1,1,0.9,0,212.564564943314,214.454574108124,0,1,0.319995880126953,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Valid",1,1,319.995880126953,3959508,212.56,3961398,214.45,3959879,212.93,3960779,213.83,3960779,213.83,3960779,213.83,3961109,214.16,NA,NA,NA,NA,NA,NA,1890,1.88999999999999,1000.00000000001,3960088,3960270,184,0.58,0.762,0.182,1.59999999999999,1,NA
1,1,1,18,"a","eb3",0.476,0,1,0.9,0.260346345115242,231.262398004532,234.352421998978,0.350029945373535,1,0.379963159561157,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,379.963159561157,5343077,231.26,5346167,234.35,5343548,231.73,5344438,232.62,5344438,232.62,5344438,232.62,5344829,233.01,5344168,232.35,5343898,232.08,5343898,232.08,3090,3.09,999.999999999999,5343904,5344166,264,0.827,1.089,0.262,1.75,0,NA
1,1,1,18,"v","eb3",0.386,1,0,0.9,0,215.294472932816,217.234409093857,0,1,0.359955072402954,"2020-03-12",1122,1,"Prompted","Prompted Blink","Predictive","Predictive Cue","Invalid",-1,1,359.955072402954,3962238,215.29,3964178,217.23,3962619,215.67,3963519,216.57,3963519,216.57,3963519,216.57,3963889,216.94,NA,NA,NA,NA,NA,NA,1940,1.94,1000,3962920,3963118,200,0.682,0.88,0.198,1.65000000000001,1,NA
1,1,1,19,"a","eb3",0.318,0,0,0.9,0.300201286316336,235.19239115715,237.742421150208,0.290026903152466,1,0.339948892593384,"2020-03-12",1143,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,339.948892593384,5347007,235.19,5349557,237.74,5347318,235.5,5348208,236.39,5348208,236.39,5348208,236.39,5348559,236.74,5347918,236.1,5347608,235.79,5347608,235.79,2550,2.55000000000001,999.999999999996,5347614,5347924,312,0.607,0.917,0.31,1.55000000000001,0,NA
