"exp_name","cue_pred","subj","cond","block","trial","cue_delay","targ_right","scue_delay","cue_valid","targ_soa","shutter_dur","trial_start","trial_end","cue_rt","corr_resp","rt","block_date","block_time","block_order","Cond","CondFull","CuePred","CuePredFull","CueValid","cue_valid_c","cue_pred_c","RT"
"eb4",1,2,"a",2,27,0.916,1,0.3,1,0.4,0.144822378389153,202.310490131378,204.976306200027,0.290117979049683,1,0.339802980422974,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,339.802980422974
"eb4",1,2,"a",2,31,0.677,1,0.3,0,0.4,0.152070414005216,216.035135984421,218.520522117615,0.350024938583374,1,0.330055952072144,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,330.055952072144
"eb4",1,2,"a",2,32,0.715,0,0.5,1,0.4,0.116338625914241,219.253022193909,221.792666196823,0.289931058883667,1,0.330114126205444,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,330.114126205444
"eb4",1,2,"a",2,35,0.765,1,0.4,0,0.4,0.15988405964083,229.438024997711,232.056743144989,0.32000207901001,1,0.359927892684937,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,359.927892684937
"eb4",1,2,"a",2,36,0.598,1,0.3,1,0.4,0.148800914726292,232.791880130768,235.088826179504,0.329885959625244,1,0.35989785194397,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,359.89785194397
"eb4",1,2,"a",2,37,0.813,0,0.3,1,0.4,0.108330095699274,235.821387052536,238.432861089706,0.310002088546753,1,0.379791021347046,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,379.791021347046
"eb4",1,2,"a",2,38,0.904,1,0.5,1,0.4,0.0977506384754786,239.165652036667,241.96902513504,0.309988021850586,1,0.320321083068848,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,320.321083068848
"eb4",1,2,"a",2,39,0.965,1,0.4,1,0.4,0.122852892083972,242.70268201828,245.481010198593,0.280196905136108,1,0.329971075057983,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,329.971075057983
"eb4",1,2,"a",2,40,0.565,0,0.4,1,0.4,0.122383856812588,246.214820146561,248.601011037827,0.349923133850098,1,0.369920969009399,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,369.920969009399
"eb4",1,2,"a",2,41,0.534,1,0.5,1,0.4,0.109186259366523,249.334527015686,252.041105985641,0.380281925201416,1,0.440047025680542,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,440.047025680542
"eb4",1,2,"a",2,42,0.793,1,0.4,1,0.4,0.140044830324992,252.778153181076,255.28116106987,0.320244073867798,1,0.329811811447144,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,329.811811447144
"eb4",1,2,"a",2,43,0.813,0,0.5,0,0.4,0.123197069713046,256.015441179276,258.745223045349,0.310222148895264,1,0.360037803649902,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,360.037803649902
"eb4",1,2,"a",2,45,0.588,0,0.3,0,0.4,0.110966530818048,262.959110021591,267.785444974899,0.319823026657104,1,0.469847917556763,"2020-10-28",1211,1,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,469.847917556763
"eb4",1,2,"a",3,4,0.944,1,0.5,1,0.5,0.0954370936153907,62.5824048519135,65.4245100021362,0.330075979232788,1,0.309999942779541,"2020-10-28",1217,2,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,309.999942779541
"eb4",1,2,"a",3,5,0.614,0,0.5,1,0.5,0.124543241235368,66.1621758937836,68.6164200305939,0.329860925674438,1,0.299985885620117,"2020-10-28",1217,2,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,299.985885620117
"eb4",1,2,"a",3,6,0.855,0,0.5,0,0.5,0.131716301456069,69.3520188331604,72.1365690231323,0.320132970809937,1,0.349940061569214,"2020-10-28",1217,2,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,349.940061569214
"eb4",1,2,"a",3,7,0.552,1,0.4,1,0.5,0.124515134924285,72.8732118606567,75.1926078796387,0.300012111663818,1,0.319942951202393,"2020-10-28",1217,2,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,319.942951202393
"eb4",1,2,"a",3,8,0.752,0,0.4,1,0.5,0.15457566023858,75.9289019107819,78.3606638908386,0.300016164779663,1,0.290071964263916,"2020-10-28",1217,2,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,290.071964263916
"eb4",1,2,"a",3,9,0.788,0,0.4,0,0.5,0.13491893518651,79.093722820282,81.6247589588165,0.329889059066772,1,0.390054941177368,"2020-10-28",1217,2,"Artificial","Artificial Blink","Predictive","Predictive Cue","Invalid",-1,1,390.054941177368
"eb4",1,2,"a",3,10,0.771,1,0.3,1,0.5,0.0919795081012701,82.339879989624,84.6887910366058,0.329905033111572,1,0.359833955764771,"2020-10-28",1217,2,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,359.833955764771
"eb4",1,2,"a",3,11,0.736,1,0.3,1,0.5,0.117387487566228,85.4254188537598,87.7526938915253,0.329931020736694,1,0.329800844192505,"2020-10-28",1217,2,"Artificial","Artificial Blink","Predictive","Predictive Cue","Valid",1,1,329.800844192505
